country;crop;crop_id;type;Scarecity;activity;pb;r.squared;zero_counter
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p002;0.00962518437480109;0.403203127525778;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p003;0.00913088256035318;0.40579039317658;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p004;0.631232137229083;0.110473218357789;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p005;0.0187261253977235;0.369172583069884;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p006;0.399483395052251;0.160050371165742;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p009;0.587451113318411;0.119239214881888;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p010;0.54749542451475;0.127385598385558;0.0588235294117647
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p016;0.0448971250833447;0.320026371652914;0.0294117647058824
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p018;0.108909264190523;0.263554561851695;0.117647058823529
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p019;0.133824104304095;0.249170044160041;0.147058823529412
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p021;0.528993789987326;0.131225357639182;0.0882352941176471
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p023;0.00206687042273426;0.473076771759941;0.0882352941176471
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p024;0.0231022958440806;0.357866023431637;0.0588235294117647
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p030;0.16946488468664;0.231948648949732;0.147058823529412
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p031;0.834753075000399;0.0688854612955708;0.147058823529412
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p032;0.0407870403379661;0.325704352011694;0.0588235294117647
AT;C1100;C1100 Wheat & spelt;droughts;0.5;AT_p033;0.836236969034346;0.0685539598804929;0.0588235294117647
