"","year","country","heatwave","coldwave","drought","flood","firerisk"
"662",2000,"LU",0,0,0,0,0
"663",2001,"LU",0,0,0,0,0
"664",2002,"LU",0,0,91.02095,0,47.1237
"665",2003,"LU",0,0,0,0,0
"666",2004,"LU",0,0,0,0,0
"667",2005,"LU",0,0,0,0,0
"668",2006,"LU",0,0,0,0,0
"669",2007,"LU",0,0,0,0,0
"670",2008,"LU",0,0,0,0,0
"671",2009,"LU",0,0,0,0,0
"672",2010,"LU",0,22,0,0,0
"673",2011,"LU",0,0,0,0,0
"674",2012,"LU",0,0,0,0,0
"675",2013,"LU",0,0,0,0,0
"676",2014,"LU",0,0,0,0,0
"677",2015,"LU",0,0,0,0,43.70629
"678",2016,"LU",0,0,0,0,0
"679",2017,"LU",0,0,0,0,0
"680",2018,"LU",0,0,65.53142,0,45.25874
"681",2019,"LU",0,0,88.64719,0,0
"682",2020,"LU",0,0,0,0,0
"683",1981,"LV",0,0,0,0,0
"684",1982,"LV",0,0,0,0,0
"685",1983,"LV",0,0,0,0,0
"686",1984,"LV",0,0,0,0,0
"687",1985,"LV",0,32,0,0,0
"688",1986,"LV",0,0,0,0,0
"689",1987,"LV",0,0,0,0,0
"690",1988,"LV",0,0,0,0,0
"691",1989,"LV",0,0,0,0,0
"692",1990,"LV",0,0,0,0,0
"693",1991,"LV",0,0,0,0,51.74138
"694",1992,"LV",0,0,0,0,0
"695",1993,"LV",0,0,81.42424,0,0
"696",1994,"LV",0,0,0,0,0
"697",1995,"LV",0,0,0,0,0
"698",1996,"LV",0,0,0,0,0
"699",1997,"LV",0,0,0,0,0
"700",1998,"LV",0,28,0,0,0
"701",1999,"LV",0,0,0,0,0
"702",2000,"LV",0,0,0,0,0
"703",2001,"LV",0,0,0,0,0
"704",2002,"LV",0,24,0,0,0
"705",2003,"LV",0,0,79.39394,0,42.58046
"706",2004,"LV",0,0,0,0,0
"707",2005,"LV",0,0,0,0,42.37356
"708",2006,"LV",0,0,0,0,0
"709",2007,"LV",0,0,0,0,0
"710",2008,"LV",0,0,0,0,0
"711",2009,"LV",0,0,0,0,0
"712",2010,"LV",27,30,0,0,0
"713",2011,"LV",0,0,106.48485,0,0
"714",2012,"LV",0,23,0,0,0
"715",2013,"LV",0,0,0,0,0
"716",2014,"LV",17,0,80.69697,0,0
"717",2015,"LV",0,0,0,0,0
"718",2016,"LV",0,0,0,0,0
"719",2017,"LV",0,0,87.15152,0,0
"720",2018,"LV",27,0,98.90909,0,69.16667
"721",2019,"LV",22,0,57.21212,0,0
"722",2020,"LV",0,0,184.48485,0,50.83333
"723",0,"MT",0,0,0,0,0
"724",1981,"MT",0,0,0,0,0
"725",1982,"MT",0,0,0,0,0
"726",1983,"MT",0,0,0,0,0
"727",1984,"MT",0,0,0,0,0
"728",1985,"MT",0,0,0,0,0
"729",1986,"MT",0,0,0,0,0
"730",1987,"MT",0,0,0,0,0
"731",1988,"MT",0,0,0,0,0
"732",1989,"MT",0,0,0,0,0
"733",1990,"MT",0,0,0,0,0
"734",1991,"MT",0,0,0,0,0
"735",1992,"MT",0,0,69.8878,0,44.3226
"736",1993,"MT",0,0,0,0,0
"737",1994,"MT",0,0,0,0,0
"738",1995,"MT",0,0,0,0,0
"739",1996,"MT",0,0,57.6329,0,0
"740",1997,"MT",0,0,0,0,0
"741",1998,"MT",0,0,0,0,0
"742",1999,"MT",0,0,0,0,0
"743",2000,"MT",0,0,0,0,0
"744",2001,"MT",0,0,0,0,0
"745",2002,"MT",0,0,98.80283,0,49.65336
"746",2003,"MT",35,0,0,0,0
"747",2004,"MT",0,0,0,0,0
"748",2005,"MT",0,0,0,0,0
"749",2006,"MT",0,0,65.87582,0,44.70554
"750",2007,"MT",0,0,0,0,0
"751",2008,"MT",0,0,0,0,0
"752",2009,"MT",0,0,0,0,0
"753",2010,"MT",0,0,0,0,0
"754",2011,"MT",0,0,0,0,0
"755",2012,"MT",19,0,0,0,0
"756",2013,"MT",0,0,0,0,0
"757",2014,"MT",0,0,0,0,0
"758",2015,"MT",17,0,0,0,0
"759",2016,"MT",0,0,0,0,0
"760",2017,"MT",0,0,0,0,0
"761",2018,"MT",0,0,66.39542,0,44.81579
"762",2019,"MT",22,0,60.24183,0,0
"763",2020,"MT",0,0,0,0,0
"764",1981,"NL",0,22,0,0,0
"765",1982,"NL",0,0,0,0,0
"766",1983,"NL",0,0,0,0,134.66387
"767",1984,"NL",0,0,0,0,0
"768",1985,"NL",0,128,0,0,0
"769",1986,"NL",0,0,0,0,0
"770",1987,"NL",0,0,0,0,0
"771",1988,"NL",0,0,0,0,0
"772",1989,"NL",0,0,0,0,0
"773",1990,"NL",0,0,0,0,0
"774",1991,"NL",0,0,0,0,0
"775",1992,"NL",0,0,0,0,0
"776",1993,"NL",0,42,0,0,0
"777",1994,"NL",0,0,0,0,0
"778",1995,"NL",0,0,0,0,82.43419
"779",1996,"NL",0,121,277.68403,0,0
"780",1997,"NL",0,0,0,0,0
"781",1998,"NL",0,0,0,2,0
"782",1999,"NL",0,0,0,0,0
"783",2000,"NL",0,0,0,0,0
"784",2001,"NL",0,0,0,0,0
"785",2002,"NL",0,0,0,0,0
"786",2003,"NL",0,0,332.63733,0,82.72713
"787",2004,"NL",0,0,0,0,0
"788",2005,"NL",0,0,0,0,0
"789",2006,"NL",54,0,0,0,0
"790",2007,"NL",0,0,0,0,0
"791",2008,"NL",0,0,0,0,0
"792",2009,"NL",0,0,0,0,41.75517
"793",2010,"NL",0,69,0,0,0
"794",2011,"NL",0,0,271.00954,0,0
"795",2012,"NL",0,0,0,0,0
"796",2013,"NL",0,0,0,0,0
"797",2014,"NL",0,0,0,0,0
"798",2015,"NL",0,0,0,0,0
"799",2016,"NL",0,0,0,0,0
"800",2017,"NL",0,0,0,0,0
"801",2018,"NL",0,0,71.28571,0,207.96184
"802",2019,"NL",0,0,0,0,0
"803",2020,"NL",38,0,366.53833,0,0
"804",0,"NO",0,0,0,0,0
"805",1981,"PL",0,0,0,0,0
"806",1982,"PL",0,0,0,0,47.41133
"807",1983,"PL",0,0,0,0,50.56246
"808",1984,"PL",0,0,0,0,0
"809",1985,"PL",0,264,0,0,0
"810",1986,"PL",0,114,0,0,0
"811",1987,"PL",0,42,0,0,0
"812",1988,"PL",0,0,0,0,0
"813",1989,"PL",0,0,0,0,0
"814",1990,"PL",0,0,0,0,0
"815",1991,"PL",0,0,0,0,0
"816",1992,"PL",0,0,58.8415,0,255.28699
"817",1993,"PL",0,73,0,0,0
"818",1994,"PL",34,0,0,0,0
"819",1995,"PL",0,0,0,0,0
"820",1996,"PL",0,21,0,0,0
"821",1997,"PL",0,0,0,12,0
"822",1998,"PL",0,97,0,0,0
"823",1999,"PL",0,0,0,0,0
"824",2000,"PL",0,0,0,0,0
"825",2001,"PL",0,0,0,18,0
"826",2002,"PL",0,46,115.19401,0,0
"827",2003,"PL",0,0,165.89995,0,100.96351
"828",2004,"PL",0,0,0,4,0
"829",2005,"PL",0,0,69.17811,5,188.66224
"830",2006,"PL",67,0,0,2,140.46989
"831",2007,"PL",0,0,0,0,0
"832",2008,"PL",0,0,0,0,0
"833",2009,"PL",0,0,0,6,0
"834",2010,"PL",0,183,0,7,0
"835",2011,"PL",0,0,58.89108,0,0
"836",2012,"PL",75,177,0,0,0
"837",2013,"PL",0,0,0,0,0
"838",2014,"PL",18,0,0,0,0
"839",2015,"PL",99,0,549.17454,0,218.15506
"840",2016,"PL",0,0,0,0,0
"841",2017,"PL",0,0,0,0,0
"842",2018,"PL",57,0,511.55178,0,243.20543
"843",2019,"PL",180,0,415.92879,0,80.75627
"844",2020,"PL",0,0,60.14716,0,0
"845",1981,"PT",0,0,0,0,0
"846",1982,"PT",0,0,0,0,0
"847",1983,"PT",0,0,0,0,0
"848",1984,"PT",0,0,0,0,0
"849",1985,"PT",0,0,0,0,0
"850",1986,"PT",0,0,0,0,0
"851",1987,"PT",0,0,0,0,0
"852",1988,"PT",0,0,0,0,0
"853",1989,"PT",0,0,0,0,0
"854",1990,"PT",0,0,0,0,0
"855",1991,"PT",0,0,0,0,0
"856",1992,"PT",0,0,0,0,0
"857",1993,"PT",0,0,0,0,0
"858",1994,"PT",0,0,0,0,39.61621
"859",1995,"PT",0,0,56.54796,0,0
"860",1996,"PT",0,0,0,3,0
"861",1997,"PT",0,0,0,0,0
"862",1998,"PT",0,0,0,0,0
"863",1999,"PT",0,0,0,0,0
"864",2000,"PT",0,0,0,0,0
"865",2001,"PT",0,0,0,2,0
"866",2002,"PT",0,0,0,8,0
"867",2003,"PT",21,0,0,4,0
"868",2004,"PT",0,0,0,0,0
"869",2005,"PT",0,0,96.3054,0,46.20242
"870",2006,"PT",0,0,0,2,43.4309
"871",2007,"PT",0,0,0,0,0
"872",2008,"PT",0,0,0,3,0
"873",2009,"PT",0,0,58.09613,0,0
"874",2010,"PT",0,0,0,0,0
"875",2011,"PT",0,0,0,0,0
"876",2012,"PT",0,0,75.59868,0,0
"877",2013,"PT",0,0,0,0,0
"878",2014,"PT",0,0,0,0,0
"879",2015,"PT",0,0,0,0,54.19084
"880",2016,"PT",0,0,0,0,0
"881",2017,"PT",20,0,73.22381,0,0
"882",2018,"PT",0,0,0,0,0
"883",2019,"PT",0,0,0,0,45.83969
"884",2020,"PT",0,0,0,0,0
"885",1981,"RO",0,0,0,0,0
"886",1982,"RO",0,0,0,0,0
"887",1983,"RO",0,0,0,0,0
"888",1984,"RO",0,0,0,0,0
"889",1985,"RO",0,143,0,0,0
"890",1986,"RO",0,0,0,0,0
"891",1987,"RO",0,0,0,0,0
"892",1988,"RO",0,0,0,0,0
"893",1989,"RO",0,22,0,0,0
"894",1990,"RO",0,0,60.71841,0,0
"895",1991,"RO",0,21,0,4,0
"896",1992,"RO",0,0,0,0,0
"897",1993,"RO",0,103,0,0,0
"898",1994,"RO",0,0,0,0,0
"899",1995,"RO",0,0,0,10,0
"900",1996,"RO",0,0,0,10,0
"901",1997,"RO",0,0,0,48,0
"902",1998,"RO",0,0,0,8,0
"903",1999,"RO",0,0,0,12,0
"904",2000,"RO",0,0,134.06362,20,56.93397
"905",2001,"RO",0,21,0,31,0
"906",2002,"RO",0,0,141.30635,31,0
"907",2003,"RO",0,47,93.82067,42,50.18471
"908",2004,"RO",0,0,0,11,0
"909",2005,"RO",0,0,0,41,118.86738
"910",2006,"RO",0,0,0,97,0
"911",2007,"RO",58,0,297.62976,9,50.6738
"912",2008,"RO",0,0,0,12,0
"913",2009,"RO",0,0,177.40345,46,84.96329
"914",2010,"RO",35,0,0,32,0
"915",2011,"RO",0,0,0,0,86.9282
"916",2012,"RO",141,71,316.76167,0,146.40072
"917",2013,"RO",0,0,62.72354,3,0
"918",2014,"RO",0,0,57.37235,32,0
"919",2015,"RO",97,0,59.57908,0,95.48915
"920",2016,"RO",17,0,0,5,0
"921",2017,"RO",39,0,0,0,53.84667
"922",2018,"RO",0,0,0,10,0
"923",2019,"RO",81,0,133.57996,0,154.34817
"924",2020,"RO",0,0,143.31392,0,41.38686
"925",0,"RS",0,0,0,0,0
"926",1981,"SE",0,70,0,0,0
"927",1982,"SE",0,0,0,0,0
"928",1983,"SE",0,0,0,0,0
"929",1984,"SE",0,0,0,0,0
"930",1985,"SE",0,127,0,3,0
"931",1986,"SE",0,51,0,0,0
"932",1987,"SE",0,68,0,0,40.92129
"933",1988,"SE",0,0,0,0,0
"934",1989,"SE",0,0,0,0,0
"935",1990,"SE",0,0,0,0,0
"936",1991,"SE",0,0,0,0,0
"937",1992,"SE",0,27,0,0,48.80585
"938",1993,"SE",0,0,0,0,0
"939",1994,"SE",0,0,66.42274,0,0
"940",1995,"SE",0,0,0,0,0
"941",1996,"SE",0,0,0,0,0
"942",1997,"SE",60,0,0,0,0
"943",1998,"SE",0,0,0,0,0
"944",1999,"SE",0,26,0,0,0
"945",2000,"SE",0,0,0,0,214.14411
"946",2001,"SE",0,0,0,0,0
"947",2002,"SE",70,77,66.52308,0,0
"948",2003,"SE",18,0,0,0,84.337
"949",2004,"SE",0,0,0,0,0
"950",2005,"SE",0,0,0,0,0
"951",2006,"SE",35,0,0,0,0
"952",2007,"SE",0,0,0,0,52.25608
"953",2008,"SE",0,0,0,0,39.55681
"954",2009,"SE",0,0,0,0,0
"955",2010,"SE",0,160,0,0,0
"956",2011,"SE",0,0,0,0,44.13158
"957",2012,"SE",0,0,0,0,201.23007
"958",2013,"SE",0,0,0,0,0
"959",2014,"SE",29,0,0,0,0
"960",2015,"SE",0,0,0,0,0
"961",2016,"SE",0,0,0,0,0
"962",2017,"SE",0,0,0,0,49.45652
"963",2018,"SE",97,0,240.75791,0,0
"964",2019,"SE",59,0,0,0,96.12784
"965",2020,"SE",78,0,0,0,39.96721
"966",1981,"SI",0,0,0,0,0
"967",1982,"SI",0,0,0,0,0
"968",1983,"SI",0,0,0,0,0
"969",1984,"SI",0,0,0,0,0
"970",1985,"SI",0,35,0,0,0
"971",1986,"SI",0,0,0,0,40.19423
"972",1987,"SI",0,0,0,0,39.78642
"973",1988,"SI",0,0,0,0,0
"974",1989,"SI",0,0,0,0,0
"975",1990,"SI",0,0,0,0,0
"976",1991,"SI",0,0,0,0,0
"977",1992,"SI",19,0,77.09013,0,0
"978",1993,"SI",0,0,0,0,48.28677
"979",1994,"SI",0,0,0,0,0
"980",1995,"SI",0,0,0,0,0
"981",1996,"SI",0,0,0,0,0
"982",1997,"SI",0,0,0,0,0
"983",1998,"SI",0,0,0,0,0
"984",1999,"SI",0,0,0,0,0
"985",2000,"SI",0,0,0,0,73.15904
"986",2001,"SI",0,0,0,0,0
"987",2002,"SI",0,0,0,0,0
"988",2003,"SI",26,0,55.83691,0,0
"989",2004,"SI",0,0,0,0,0
"990",2005,"SI",0,0,0,12,0
"991",2006,"SI",0,0,0,0,0
"992",2007,"SI",0,0,0,0,0
"993",2008,"SI",0,0,0,0,0
"994",2009,"SI",0,0,0,0,0
"995",2010,"SI",0,0,0,0,0
"996",2011,"SI",0,0,69.16309,0,45.57143
"997",2012,"SI",24,0,0,4,84.76531
"998",2013,"SI",17,0,0,0,0
"999",2014,"SI",0,0,0,0,0
"1000",2015,"SI",33,0,0,0,0
"1001",2016,"SI",0,0,0,0,0
"1002",2017,"SI",18,0,0,0,41
"1003",2018,"SI",0,0,0,0,0
"1004",2019,"SI",24,0,0,0,0
"1005",2020,"SI",0,0,0,0,0
"1006",1981,"SK",0,0,0,0,0
"1007",1982,"SK",0,0,0,0,0
"1008",1983,"SK",0,0,0,0,0
"1009",1984,"SK",0,0,0,0,0
"1010",1985,"SK",0,39,0,0,0
"1011",1986,"SK",0,0,0,0,0
"1012",1987,"SK",0,0,0,0,0
"1013",1988,"SK",0,0,0,0,0
"1014",1989,"SK",0,0,0,0,43.0587
"1015",1990,"SK",0,0,0,0,0
"1016",1991,"SK",0,21,0,0,0
"1017",1992,"SK",0,0,0,0,0
"1018",1993,"SK",0,0,0,0,0
"1019",1994,"SK",18,0,0,0,0
"1020",1995,"SK",0,0,0,0,0
"1021",1996,"SK",0,23,0,0,0
"1022",1997,"SK",0,0,0,2,0
"1023",1998,"SK",0,0,0,2,0
"1024",1999,"SK",0,0,0,0,43.0916
"1025",2000,"SK",0,0,0,0,0
"1026",2001,"SK",0,0,0,8,0
"1027",2002,"SK",0,0,0,6,48.46117
"1028",2003,"SK",0,0,85.75676,0,0
"1029",2004,"SK",0,0,0,4,0
"1030",2005,"SK",0,0,0,0,0
"1031",2006,"SK",0,0,0,13,0
"1032",2007,"SK",0,0,0,0,0
"1033",2008,"SK",0,0,0,0,0
"1034",2009,"SK",0,0,0,0,0
"1035",2010,"SK",0,0,0,4,0
"1036",2011,"SK",0,0,0,0,0
"1037",2012,"SK",23,0,64.18074,0,0
"1038",2013,"SK",18,0,0,3,0
"1039",2014,"SK",0,0,0,0,0
"1040",2015,"SK",34,0,64.46453,0,0
"1041",2016,"SK",0,0,0,0,0
"1042",2017,"SK",18,0,0,0,0
"1043",2018,"SK",0,0,0,0,51.58779
"1044",2019,"SK",23,0,0,0,0
"1045",2020,"SK",0,0,0,0,0
"1046",1981,"UK",0,166,0,0,0
"1047",1982,"UK",0,0,0,0,0
"1048",1983,"UK",0,0,0,0,49.06581
"1049",1984,"UK",0,0,313.90764,0,0
"1050",1985,"UK",0,259,0,0,41.5245
"1051",1986,"UK",0,89,0,0,0
"1052",1987,"UK",0,21,0,0,0
"1053",1988,"UK",0,0,0,0,0
"1054",1989,"UK",0,0,132.67505,0,266.93969
"1055",1990,"UK",0,0,1025.47128,0,267.6881
"1056",1991,"UK",0,0,0,0,39.57397
"1057",1992,"UK",0,21,0,0,104.57276
"1058",1993,"UK",0,0,0,0,0
"1059",1994,"UK",0,0,0,2,84.17428
"1060",1995,"UK",75,0,809.21275,0,464.22508
"1061",1996,"UK",0,0,0,0,130.4927
"1062",1997,"UK",0,0,0,0,39.9019
"1063",1998,"UK",0,0,0,3,0
"1064",1999,"UK",0,0,0,4,0
"1065",2000,"UK",0,0,0,10,0
"1066",2001,"UK",0,0,0,2,0
"1067",2002,"UK",0,0,0,12,42.83966
"1068",2003,"UK",19,0,411.86161,0,444.10119
"1069",2004,"UK",0,0,0,3,0
"1070",2005,"UK",0,0,0,0,0
"1071",2006,"UK",110,0,0,0,45.66841
"1072",2007,"UK",0,0,0,82,0
"1073",2008,"UK",0,0,0,18,0
"1074",2009,"UK",0,0,0,5,40.37069
"1075",2010,"UK",0,403,0,0,0
"1076",2011,"UK",0,0,335.3511,0,0
"1077",2012,"UK",0,0,0,93,0
"1078",2013,"UK",0,0,0,0,0
"1079",2014,"UK",17,0,0,8,0
"1080",2015,"UK",0,0,0,7,40.76768
"1081",2016,"UK",0,0,0,0,0
"1082",2017,"UK",0,0,0,0,0
"1083",2018,"UK",18,0,0,0,363.18448
"1084",2019,"UK",0,0,0,0,0
"1085",2020,"UK",0,0,701.48157,0,0
