"","country","crop_name","crop_id","uncertainty_indicator","odds_ratio_days_heatwave","odds_ratio_days_coldwave","odds_ratio_days_drought","odds_ratio_days_flood","odds_ratio_exp_area_heatwaves","odds_ratio_exp_area_coldwaves","odds_ratio_exp_area_droughts","odds_ratio_exp_area_floods","max_likelihood_pseudo_R2","Wald_Test_p_val_days_heatwave","Wald_Test_p_val_days_coldwave","Wald_Test_p_val_days_drought","Wald_Test_p_val_days_flood","Wald_Test_p_val_exp_area_heatwaves","Wald_Test_p_val_exp_area_coldwaves","Wald_Test_p_val_exp_area_droughts","Wald_Test_p_val_exp_area_floods"
"47","HR","Rye","C1200","0.239","8.79612847025966e-143","0.985903490712894","0.99915752712288","1.18012352038262",NA,"1.52189413935442","1.06132627520175","0.886189200745724","0.449303134045538","0.39331879633642","0.253329354665908","0.855765626273267","0.00240808273958014","1",NA,"0.163118023053291","0.834192938714339"
"48","HR","Barley","C1300","0.261","6.27094936101727e-09","0.998030433450593","1.00284346706765","1.16502189698335",NA,"0.988506035884578","0.761014851635708","0.901042433255931","0.435419597415602","0.670846946811328","0.874244858199956","0.546374477286659","0.00517364658041485","1",NA,"0.96928265457266","0.346051561443302"
"49","HR","Oats","C1400","0.239","58601351543122935818","1.00059240318893","0.998663467589194","1.02952493659632",NA,"0.785689311326703","1.14754657310516","0.623416586137698","0.204760036594226","0.0266118879590122","0.963601146302477","0.784627460185336","0.58697436226885","1",NA,"0.645935717823138","0.784282550640539"
"50","HR","Maize","C1500","0.239","0.00265102278186253","0.986741989696787","0.997337088538081","0.966238728684842",NA,"1.48525809305016","1.22357510242403","1.23612547103381","0.14602011675235","0.242894839336339","0.235587706368463","0.526213562313368","0.455542997439052","1",NA,"0.146967477043368","0.434859521565975"
"51","HR","Sorghum","C1700","0.043","1.00130724327971","0.999073705592763","1.0008498575949","0.995888533674571","0.948183008754861","0.974997890455763","0.931432170087587","0.978445950643515","0.0305996896685775","0.875218744262004","0.914780044043598","0.822435030197713","0.907119359961118","0.780529719517678","0.903679344702824","0.73874504115093","0.863140037388019"
"52","HR","Roots & tubers","R0000","0.109","1.00043665054027","0.984086056998807","0.996833519444303","1.12153447583417","1.10658199775785","1.50586389542668","1.00471264632155","0.729470289347082","0.175680525206777","0.976369462888416","0.300037234361325","0.636807480739468","0.0741399984575176","0.764730430076894","0.274155182334225","0.990050887003359","0.165571042330944"
"53","HR","Potatoes","R1000","0.261","0.99705446166505","0.989746131014394","0.991704067745043","0.988052386136916","1.28817716472754","1.36107452180333","1.73215129158394","1.02838148794299","0.176322570986992","0.81967250471791","0.446196530290358","0.163517183876459","0.826789404665388","0.396299079741322","0.346849029094462","0.104262891963069","0.886779021760705"
"54","HR","Sugar beet","R2000","0.261","1","1","1","1","1","1","1","1","NaN","1","1","1","1","1","1","1","1"
"55","HR","Sunflower seed","I1120","0.261","1.04334002030541","1.00160497590142","0.992807214529023","1.08480962564523","0.520974174486408","0.924975634836979","1.39941886210127","0.901386633112312","0.364934054284758","0.00529934339851882","0.913989697005954","0.270591215250204","0.185020104641608","0.0533199007575046","0.827942478784783","0.360271722683785","0.632464624694984"
"56","HR","Soy beans","I1130","0.261","1.00474990292422","1.00100427127653","0.996951904079947","0.975480987279828","1.05622406033702","0.961409439706686","1.05369428280496","1.14911608270547","0.247966834568131","0.519159989394069","0.895308197048205","0.362926635569416","0.427110925398087","0.745072804619144","0.830937233816618","0.780327781739326","0.217492062768421"
