"","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"RoW_p001",0,-0.0147686810422704,0.0537911194280147,0.057136697598238,0.00728678522080217,0.000403136428336853,0.0167288530533825,0.00748777490639166,0.0111091013164084,0.0183269870890842,0.039546487310197,0.012723940312107,0.00407329162954843,0.054116118719647,-0.0182188715958738,-0.00197830613527256,-0.0474921575259698,0.0303672953002998,0.0330161625555412,0.0464510204392482,0.0116179063948812,0.0260671488001226,0.0478138164663631,-0.00376976428022936,0.0150928155004912,0.03974936029757,0.0103427114312161,0.00636867794383954,-0.00371927497350857,0.00303440228216256,0.00172718191011157,0.0204494455477696,0.0186087738999498,-0.0079173117148386
"RoW_p002",0,-0.0522482887408897,0.016914311186311,0.0602943186469171,0.0755989860813732,-0.0656886245210875,-0.00224047156028756,-0.00377553902666533,-0.0602021281741427,0.00840999325971872,0.0922002215886331,0.0714414110254099,-0.0819103763618328,0.0301827867065218,-0.0111499666371975,0.029288794204793,0.0207203252484896,-0.0473304389836531,0.0758510633655319,0.0155569313346568,0.0348431414084649,0.0344139961480716,-0.00594575026421174,0.0795805992473032,-0.0858727031383964,0.123335448255615,-0.0580324459467281,0.05055865416524,0.0281064711948598,0.0229328571125535,0.0302429880569587,0.0529893263245995,-0.0365530775108545,0.0273350015877893
"RoW_p003",0,0.0240317155969301,-0.0938064867521508,-0.0324108265729412,0.181275350502898,-0.111017428208843,-0.0938925334566826,-0.0248502737009544,-0.0029700070104137,-0.281569786992258,0.136091908421105,-0.0361499221157608,-0.221540341172778,-0.0684191129539796,0.0112182926292264,0.234484449793982,0.0663855794894085,0.0194130021840314,-0.00930759972257959,-0.0532229617608151,0.118814919020675,-0.13527742351034,0.0770849508755,0.0876553029333963,-0.242706521063705,0.259733722413609,-0.0639169673643638,0.0974334011254441,0.02661786256187,0.00917129829478905,-0.0196775056415142,0.050984641619968,-0.0294381128679193,0.163768860250144
"RoW_p004",0,0.0452001062833534,0.0353327360548372,0.0246984396737389,0.0330749945572573,0.017589498814476,-0.00901042097409614,0.0841664948987297,-0.00225371220570871,0.0406593941221176,0.0801923169335272,-0.0640178852359435,0.108542626174766,-0.0216564597613896,-0.0516224777340914,0.0673668254687642,0.0102584569837299,0.0650181763763944,0.0492099033495515,0.0362849718213219,0.0520668066105337,0.0752078016772263,0.110947988154971,-0.066347157576959,0.117339531914943,0.0376796482136482,0.091693863361929,0.0836667166935376,0.00727867162954348,0.0967869980903148,-0.00621814653923395,0.0955587207972489,-0.0390908162954713,0.0630175374100092
"RoW_p005",0,0.173661127833656,0.0400794162029449,0.0643365360707439,0.195874360817101,-0.302496858603273,-0.00528879223938732,-0.290162456130283,-0.326064462197148,-0.26783354451548,0.323776765611289,0.193254443772191,-0.485210152626402,0.304588226892228,0.133973610989371,0.116829778127514,0.0570706945960313,-0.35734572170487,-0.250819973260918,0.172276939915297,-0.184983745249013,0.364587130914769,0.0990307860325082,-0.0109681599652547,-0.496320703125975,0.535527169877201,-0.21510484194951,0.354057095509811,-0.046752415413075,-0.266035051457215,0.132131578898398,0.0115948865796824,-0.176351830573294,-0.166138571997381
"RoW_p006",0,-0.126522689445593,-0.160671445747503,0.127322933203784,0.0404413215693208,-0.13913773915892,-0.0464106334696125,-0.0048073979199193,-0.0520075753128004,-0.224235062413601,0.0282339684958191,0.110705882488649,-0.419563425820001,-0.0157362491561314,0.228180119701129,0.216855373810016,-0.238011706849705,-0.0311906461092335,-0.00345110661902959,-0.084699614789009,-0.00943900123611593,0.104824566694619,0.0180476836192624,-0.0487595446623162,-0.281568479375293,0.566819060438742,-0.210525782463327,0.217028764368058,-0.00970131024906067,-0.0911641297086961,0.106388879310902,0.0934710393777492,-0.0836124344516416,-0.0598915599665804
"RoW_p007",0,-0.0405474819591261,0.221958965711074,-0.020949651558728,-0.00101159443889533,-0.170463701603796,0.182364491337703,-0.122955192710168,0.0913879282801667,-0.100059787540245,0.122373390462886,-0.0459585776103416,0.0592651274806597,-0.0658969030271131,0.0133525637592688,0.0434134647736494,-0.161431775344936,0.444273092381717,-0.158539357687981,0.0603303369895074,0.0332339639900162,0.0495576982346872,0.0225359548392226,-0.241452693720222,0.260454462313264,-0.180972811885202,-0.00655893910072612,-0.0196959644245365,0.0798373899804663,-0.0100859515495062,-0.024989388042706,0.0526785319317964,0.105840439369749,-0.112005850632849
"RoW_p008",0,0.0315118610757791,0.0336181422433631,-0.103524119982584,-0.0186030361182247,-0.0337714773427776,0.168609353417957,-0.0868653669550556,0.00152912175212167,-0.0229052762237752,0.195469784925909,-0.154363656175633,0.119792445306719,-0.0877880737686445,-0.0316436068783757,0.0740489251879253,-0.0586258643717765,0.12238018469418,-0.0578639391954424,0.0710366179285249,0.0229485160055938,0.00246458372956977,0.0362911669464019,-0.12341561920712,0.121717805863857,-0.01238178944433,-0.0106326293438745,0.0110410302995039,0.128915233583379,-0.128218293569074,0.0158742367634743,-0.0367168358093768,0.0401762309622988,-0.044702963156048
"RoW_p009",0,0.146195810722744,-0.0891917069606846,0.0475936872813415,0.067710810982841,0.260630961828804,-0.0211835193594512,-0.120601496111921,-0.0596620768822622,-0.0380423157485686,0.0743344391467955,0.11204875334639,-0.19800296690402,0.0724647351216732,0.158399200226152,-0.111588569180519,-0.0765651504569259,0.249379606409622,-0.0565907974455543,0.177011837400632,-0.177184070868497,0.191566262685025,-0.0116794636098194,0.122891226690363,0.15429605017421,0.112549516151265,0.0161037531239799,0.0599967760979235,0.0290357248050068,0.0507384782941342,0.0208642956256715,0.0339700336364388,-0.0090944743240851,0.0362926035385301
"RoW_p010",0,-0.0388718268604866,-0.0405374924111847,0.0707353705499435,-0.0522046310711964,0.0149467093269577,-0.0802511549981215,0.0646259913365935,-0.0416271203613091,0.0821857352674077,0.0545815265142973,0.0579008267622723,-0.0158939290197576,0.0108218170008621,0.0846439149054502,-0.00117678820798137,0.0366577541836801,0.0216598853387815,0.0516966792499483,0.0218169007149982,-0.0734816177926373,0.052099485867654,0.0412700903430496,0.0211610383227207,0.00684509456474589,0.128405744405177,0.00650623417854729,0.0301548852963828,-0.016424835133337,0.0238783895056491,-0.0613850470846018,0.0387709779131925,0.0258054090255631,0.0143112432968343
"RoW_p011",0,0.0292100471468733,0.0489019785428867,0.0553792395200525,-0.00339427242536628,0.0529226761566113,0.00950229456834269,0.00855299680507138,0.00743736724179516,-0.0152652536293347,-0.0225783324641804,0.0213464301571842,0.00478102058686881,0.0427700815153258,0.0392721248823835,0.0315483946937777,0.0136504523044065,0.0436154018003051,0.0620441526529841,0.00990260913291717,0.0826881269664056,0.0204393025278731,0.0154287286569595,0.0169734285692993,0.0693236781768968,0.0545856392314544,0.0325289784533966,0.0167316098984126,0.0316933066278602,0.00362546269990965,-0.00330310508395796,-0.0188765243963871,0.0258122884315985,0.042872045829447
"RoW_p012",0,0.106253209415927,-0.0881337896743312,0.0148265178800265,-0.00824855707228576,0.0085417272896415,-0.0039214761689245,0.0681045934164624,-0.0469492329960134,0.0848878851423498,0.0442233450096248,-0.146859789848857,0.111476397210175,0.0930148644558639,-0.0556114306389548,-0.0218338105931293,0.00463408765226805,-0.0437070875585784,-0.00140289248444842,-0.0226165849190041,-0.167687867113171,-0.0531779091517551,0.023887771940101,-0.00429639382910642,-0.0945794550934432,0.00413120037317631,-0.0387405391182658,-0.00546881393521662,0.0346239975451131,-0.0235497134255246,-0.0113527634776821,0.021404910693542,-0.00803918557629022,-0.00905565319537129
"RoW_p013",0,0.0121470317879994,0.0606809317497435,-0.000103456432133211,0.0161195496059793,0.0532293339210626,0.0130005056782803,0.0908594909148551,0.0244112730245192,0.0633542585002186,0.0190143416433423,0.0632233721511014,0.178426970148141,0.0465180128812333,0.0126040238090923,0.0182881398108328,0.0598352144422767,0.0271167221396653,0.0303799184737932,0.0353499401246894,0.0341268320854632,-0.00533840239422843,0.0197439546076577,-0.115699991764503,-0.178808692584864,0.0453920627786999,0.049888862854093,0.0163661359952089,0.31063827872992,0.0470767397266455,0.00799288464648319,-0.00959433773036596,0.0254338292799872,0.00918580710915107
"RoW_p014",0,-0.0114934882552072,0.329887063290789,0.0574599114879628,0.217459409124161,0.255893718058334,0.101608250250984,0.0743179023051355,0.0277771717103391,0.00330304799273624,0.0258566778558056,0.043240798460778,0.0418433775351973,0.0516009137048109,0.0137149296184802,0.0120078480806953,0.0580909851534877,0.0465052222049548,0.0617158904002966,0.0473532834243444,0.0785289370408986,-0.106507777913059,0.116108197553234,-0.0981577340112354,0.189251880821685,-0.0644955054498031,-7.58435849242753e-05,0.0693060756722989,0.179339790214651,0.00913059100005593,0.099135636155377,0.0481162171836696,-0.0562453852646395,0.0128151705197601
"RoW_p015",0,0.0655973578127697,-0.000581765111364159,0.0265078357721244,0.0404697813713088,0.0380509643592176,0.0264514472269265,-0.0884097096305729,0.0574795288577831,0.0770124964690448,0.0450102334115476,0.0212147481776287,0.0183279488438457,0.00465060728677496,-0.023753056342944,0.0170461299204433,0.0545757614828675,0.0329305213794104,-0.024473433722445,-0.0191719075806791,0.0813157273344459,0.144816161072131,0.0778714552456607,-0.0249577438915194,-0.00367506246722907,0.072829445525087,0.0198936548227601,0.0419183911011314,-0.0106392201736654,-0.00747694946601243,0.00277972410580784,-0.0269622691769919,0.0554034685533953,0.0141569572475079
"RoW_p016",0,0.11230558056986,0.00243428147430839,0.0393894652489021,-0.0455856171204065,-0.0949934742853963,-0.334878683762598,-0.0509504281553164,-0.185622857074862,0.0808916609189766,-0.00248293041337711,0.0174964487591642,0.0398720503728134,-0.0713556254851419,-0.0271996268352729,-0.0464871292616925,0.176157880508694,-0.126024728667143,0.043601573694126,0.0497323801557849,0.144326700597595,-0.0354931571084431,-0.000619448674126527,-0.0852571004666415,0.0712827327598847,0.391622516085962,-0.040933141718653,-0.0720382274062407,-0.0428579620391077,0.0674830453641353,0.207374565046582,0.0525728629200948,-0.121277159512454,0.138045412055604
"RoW_p017",0,-0.0133737382409172,0.143237059843695,-0.0819552155750438,0.125313220544949,-0.053329047666919,-0.0238417921515138,0.0173628688572117,0.0591649303375654,-0.00316646527016235,-0.0315638487735998,-0.0535246519966396,0.00538228607184215,0.0826730173217798,0.016496162684989,0.0487364167123593,0.0699775995846145,0.0977971132149263,-0.127492347596666,0.0117600430068512,0.12262521233335,0.0308175538703517,0.00465361023861356,0.0129715943467501,0.128613085269924,-0.000864308290021285,-0.00911972227486329,0.0384142963166193,-0.00862312544050397,0.0270063500977663,0.0324920704663451,0.07353362279596,-0.0248892360594646,-0.0597965169492464
"RoW_p018",0,0.225445106082531,-0.060838309706802,0.0242479961909311,0.0754049812564195,-0.394991021111055,-0.31421109299358,0.0851655439702509,0.0112176277499749,-0.272780244208597,0.0912616087828466,-0.0605082866760254,-0.120871386409781,-0.0711292720712852,0.113317629511059,0.11098284820525,0.147419740922033,-0.0865606704543466,0.0171411410050092,0.00418620827420778,-0.044291325841723,-0.00309897737340176,0.096110174205323,-0.0197460238919376,-0.0147868692374075,0.335086660975621,-0.0552051608893238,-0.0402448472902394,0.0513523928381566,0.0285426755105359,0.0757404955218314,0.311897057067469,-0.151338498457864,-0.0278433173549116
"RoW_p019",0,-0.0720034733778056,-0.0148740453801509,0.0793979833128644,-0.000159407841865218,0.027939243672134,-0.157365109769899,0.0842895271057555,0.0777716119680924,0.0588988882214605,-0.0429645758184011,0.0214750224375491,0.0293072286438222,0.0208723306032655,-0.059240567592196,-0.00755652245825438,0.114911265629366,-0.0489923421915812,0.0479398586099148,0.0179560337547214,0.0437724724191585,0.0141611262206447,0.00449168351526638,-0.00798674249090925,0.110187804545471,0.000683164270714302,0.131069131220711,0.0711061226793776,-0.07385780492517,-0.063380055000369,0.0395610756851063,0.186591252163068,0.0575022432858989,-0.0739564028321896
"RoW_p020",0,-0.00274648385089683,0.0806915345687825,0.0896261818575383,0.012811955197699,0.112088746140435,0.026118845022387,0.0246648903760594,0.0845269512447776,0.0321943813927214,0.051551886805898,0.0476400227848386,0.041336445328505,0.110056015041464,0.0229629836882012,0.0500414094304097,0.0993894304382196,0.0472035316542532,0.03484590523218,0.141691732009797,0.0688171049937676,0.0604096601972611,0.131961929073687,0.0142465563209834,-0.0843125475030648,0.0544621792641193,0.0636783131247837,-0.0640162536148212,0.0307617235768176,0.113862077282775,-0.00371896938016288,0.075700511015771,0.0184328864905601,0.0465910602134857
