"","country","crop_name","crop_id","uncertainty_indicator","odds_ratio_days_heatwave","odds_ratio_days_coldwave","odds_ratio_days_drought","odds_ratio_days_flood","odds_ratio_exp_area_heatwaves","odds_ratio_exp_area_coldwaves","odds_ratio_exp_area_droughts","odds_ratio_exp_area_floods","max_likelihood_pseudo_R2","Wald_Test_p_val_days_heatwave","Wald_Test_p_val_days_coldwave","Wald_Test_p_val_days_drought","Wald_Test_p_val_days_flood","Wald_Test_p_val_exp_area_heatwaves","Wald_Test_p_val_exp_area_coldwaves","Wald_Test_p_val_exp_area_droughts","Wald_Test_p_val_exp_area_floods"
"212","PL","Green plants fodder","G0000","0.109","0.981146065901069","0.991518839775784","1.00519468292253","1.83171874705647","1.49942122455848","0.925767693716709","0.689822542337293","0.501243174171337","0.27108464080655","0.661738122481313","0.712618269929819","0.683321675758706","0.0451434244962421","0.51556871184982","0.89033347603175","0.540942949117608","0.27722336523458"
"213","PL","Temporary grassland","G1000","0.109","0.977922502912553","0.991038842711525","1.00506891323564","0.82220526815013","1.46977586438841","0.90432540514653","0.748250235453445","2.62193123847205","0.158938135726867","0.65598666915592","0.716814631040134","0.727323343441707","0.492983727405745","0.594017391111459","0.866932770410925","0.675397457388151","0.149884675191583"
"214","PL","Leguminous plants green","G2000","0.109","1.01410256250665","0.999220700023622","0.994494424140849","0.914340462707721","0.803693609686456","0.957785022803548","1.35928629989347","2.24476988113407","0.237036299701897","0.352237284379516","0.913225187068217","0.240374325605318","0.4856505958136","0.31143062356555","0.78329164539931","0.130477504807491","0.0109562716360974"
"215","PL","Green maize","G3000","0.366845580713407","1.06607488923695","1.0032226139205","0.984543657320136","0.742025662154177","0.647853160209187","0.757528078716316","2.06330268121318","1.74003508167721","0.321444960449321","0.145870828852874","0.885549840355398","0.214599948041581","0.344633393003332","0.484691906215516","0.607862016825172","0.227133829486505","0.383446211055776"
"216","PT","Wheat & spelt","C1100","0.348","1.10389223289785","1.0313679381647","1.0036539647562","0.939205400459755","0.161983392400741","0.715102954695656","0.84122622799707","1.35192372536476","0.0977120737716473","0.188635570782887","0.904280659600031","0.702406698898323","0.490329814352886","0.151810482758609","0.917085461442506","0.769714985098588","0.423252906816708"
"217","PT","Rye","C1200","0.478","4.29316025280941e-65","1.13005692820486","1.01202303409681","0.922502861728076",NA,"0.247994414438314","0.486574190051098","1.18878004089957","0.160694899488777","0.102235173993917","0.630341099705936","0.182665168057079","0.330020984787096","1",NA,"0.659764498953857","0.201569882514141"
"218","PT","Barley","C1300","0.761","1.08722112363628e-148","0.989327020641898","1.01252169301736","0.997992066045345",NA,"1.62388270306163","0.70357370823967","0.806903423027878","0.3434050835055","0.163426666818886","0.961845746951835","0.118645291635894","0.977942551032078","1",NA,"0.862424161184117","0.477056152970239"
"219","PT","Oats","C1400","0.478","8.70101857111511e-19","0.90353972533273","1.01333907917446","0.984107801801965","1.57092724519105","42.3018133801549","0.176060966950441","0.589145749166185","0.224388765251749","0.635643800585392","0.687367766878531","0.13223269937326","0.842198510085633","0.807529631112509","0.621441650174988","0.194971760915139","0.503888589680329"
"220","PT","Maize","C1500","0.478","3.37891453965956e-10","1.89571359195593","1.0108267994403","0.968721218713694",NA,"0.000378523724169343","0.52854542506666","0.889905338602208","0.288668519397959","0.215723193422069","0.00946050814396192","0.191885947559302","0.67492455790996","1",NA,"0.0102699645591737","0.21904590220776"
"221","PT","Potatoes","R1000","0.804","0.973027440350212","1.05212644693307","0.994299885735397","0.991455874766046","1.50149962253805","0.471859728818289","1.11533332107695","0.744111986497286","0.15845379357538","0.702838285864355","0.837718449761557","0.536010451596865","0.92186169647816","0.736340651394878","0.809282071798643","0.848172628237675","0.416415009125381"
"222","PT","Sugar beet","R2000","0.326","1.01916182086248","1.00574875813621","0.999199003859377","1.03714853624342","0.530285741721507","0.670303398083435","0.906142009646076","0.899167756282085","0.375866411322787","0.111030852003716","0.779142200443262","0.836091158823004","0.422658325483489","0.00254819620001797","0.0596090220717158","0.658494512884878","0.7529516806653"
"223","PT","Sunflower seed","I1120","0.826","0.963544679207819","0.893496103213866","0.988496913724933","0.964245599579886","1.82227290728851","3.9499074295908","2.76370872331844","1.1960440887817","0.198723717695338","0.595833749214536","0.642278927699784","0.203835684942463","0.670157794658512","0.610875278615922","0.651381783260134","0.0749651811509852","0.612781301626416"
"224","PT","Tobacco","I3000","0.63","1.00209592057007","0.974795918215101","0.996989457207288","0.882127160153978","0.734083317448997","0.948814900321864","0.933822667096989","1.63881304043205","0.204253420363045","0.976006197190965","0.915710722412624","0.736557503518464","0.14726885454442","0.792213421172823","0.986140505203059","0.901694841430274","0.166842917128609"
"225","PT","Hops","I4000","0.348","0.994662736343914","1.30159885865547","1.00064500225873","1.06403124896414","0.812415217884766","0.0375554467349246","0.732961224620476","0.923925720489584","0.228474532630959","0.93777318999998","0.271737828112234","0.941703003524162","0.460677239784397","0.85727234608353","0.275157355159406","0.570204587696849","0.819379056956331"
"226","PT","Green maize","G3000","0.217","1.06726560122982","0.876096686903092","1.00781742149718","0.991204939889163","0.377656918160682","5.67547472682303","0.690499578811348","0.888875026720993","0.21718509679831","0.179937924185854","0.427147555045221","0.211496665853677","0.879890398888663","0.232385570732636","0.406191517294491","0.334546899471868","0.626684043803189"
"227","RO","Wheat & spelt","C1100","0.109","1.01794662996273","0.984664020336132","1.0147404951824","1.00411859651437","0.756976715419224","1.43499209071091","0.57720569854699","0.878703152965133","0.213542472947256","0.47296816543199","0.534975648344554","0.281698165050116","0.892746684872458","0.529726912596492","0.513219781656014","0.473827820184344","0.750498575822872"
"228","RO","Rye","C1200","0.457","6.54665001783608e-84","1.01108726960143","1.00858016738877","0.988221088324345",NA,"0.818916494648943","0.985436828088014","1.23421760501392","0.220418242473452","0.0931901994896322","0.630509144056978","0.491879100641246","0.651500268838612","1",NA,"0.693480941895306","0.984714685344668"
"229","RO","Barley","C1300","0.565","2.20822764997599e-06","1.01585297254756","1.01894261256841","1.01020337174907",NA,"0.762342442047151","0.583390713788778","0.894267677229444","0.311139153018986","0.409830441391401","0.491659566472581","0.100392174041422","0.734280679842614","1",NA,"0.587014787361806","0.416296912803125"
