"","year","country","heatwave","coldwave","drought","flood","firerisk"
"123",1983,"CH",7,4,14.636364,0,23.048736
"124",1984,"CH",3,8,19.711268,0,14.330115
"125",1985,"CH",0,33,12.969095,0,39.203678
"126",1986,"CH",4,17,22.132479,0,34.049655
"127",1987,"CH",0,18,18.526582,0,15.2349425
"128",1988,"CH",0,6,11.125874,0,8.822529
"129",1989,"CH",0,5,17.635638,0,21.376092
"130",1990,"CH",3,8,27.480932,0,27.021149
"131",1991,"CH",3,12,44.47412,0,30.182529
"132",1992,"CH",11,4,20.326683,0,16.057471
"133",1993,"CH",4,16,8.94332,0,8.188506
"134",1994,"CH",9,9,15.896154,0,18.656552
"135",1995,"CH",6,8,8.656489,0,20.496552
"136",1996,"CH",5,7,18.996805,0,13.188506
"137",1997,"CH",0,7,26.526767,0,24.488736
"138",1998,"CH",7,11,19.802198,0,14.685977
"139",1999,"CH",0,12,10.302799,2,12.336092
"140",2000,"CH",3,0,17.15625,0,13.992644
"141",2001,"CH",3,7,13.097872,0,16.447356
"142",2002,"CH",6,4,18.422222,0,12.184368
"143",2003,"CH",33,17,69.411157,0,50.669425
"144",2004,"CH",4,6,14.698113,0,20.249195
"145",2005,"CH",6,20,21.643162,6,27.091954
"146",2006,"CH",9,11,27.953782,1,30.2754
"147",2007,"CH",0,13,20.60177,5,13.948046
"148",2008,"CH",0,6,13.242775,0,11.96046
"149",2009,"CH",6,15,15.902235,0,25.874943
"150",2010,"CH",8,19,15.36385,0,14.462529
"151",2011,"CH",7,7,37.64316,0,14.96
"152",2012,"CH",9,27,11.662614,0,9.24
"153",2013,"CH",9,16,20.391775,0,15.64
"154",2014,"CH",7,3,29.612756,0,9.88
"155",2015,"CH",27,8,35.196687,0,29.706667
"156",2016,"CH",8,12,10.957346,0,9.466667
"157",2017,"CH",23,12,27.455115,0,18.506667
"158",2018,"CH",19,8,60.695096,0,49.44
"159",2019,"CH",16,6,27.11879,0,27.146667
