"","country","crop","crop_id","type","Scarecity","activity","pb","r.squared","zero_counter"
"87","AT","R1000","Potatoes","heat waves","1","AT_p089","0.348970011290548","0.240797279244982","0.0294117647058824"
"88","AT","R1000","Potatoes","heat waves","1","AT_p090","0.242202777573552","0.275655585326985","0.0294117647058824"
"89","AT","R1000","Potatoes","heat waves","1","AT_p091","0.563759038786229","0.184656580145085","0.0294117647058824"
"90","AT","R1000","Potatoes","heat waves","1","AT_p096","0.386539317345377","0.230057507108842","0.0588235294117647"
"91","AT","R1000","Potatoes","heat waves","1","AT_p099","0.739609024975451","0.141773756511417","0.0294117647058824"
"92","AT","R1000","Potatoes","heat waves","1","AT_p101","0.71417999598333","0.148159349364098","0.0294117647058824"
"93","AT","R1000","Potatoes","heat waves","1","AT_p102","0.994577558213684","0.0350870046245013","0.0294117647058824"
"94","AT","R1000","Potatoes","heat waves","1","AT_p104","0.50989107784809","0.197856457276732","0.0294117647058824"
"95","AT","R1000","Potatoes","heat waves","1","AT_p106","0.534989918997854","0.191667698852905","0.0294117647058824"
"96","AT","R1000","Potatoes","heat waves","1","AT_p107","0.035796834699781","0.41148012697084","0.0294117647058824"
"97","AT","R1000","Potatoes","heat waves","1","AT_p108","0.11364402869674","0.336358156503547","0.0294117647058824"
"98","AT","R1000","Potatoes","heat waves","1","AT_p109","0.0554410312313748","0.384903658117615","0.0294117647058824"
"99","AT","R1000","Potatoes","heat waves","1","AT_p110","0.412072537573876","0.223062042166395","0.0294117647058824"
"100","AT","R1000","Potatoes","heat waves","1","AT_p115","0.0726665424071566","0.367406322508627","0.0294117647058824"
"101","AT","R2000","Sugar beet","heat waves","1","AT_p002","0.571324979210243","0.182823578034769","0.0294117647058824"
"102","AT","R2000","Sugar beet","heat waves","1","AT_p003","0.409217246127789","0.223833671966023","0.0294117647058824"
"103","AT","R2000","Sugar beet","heat waves","1","AT_p004","0.641298487272209","0.165954550128452","0.0294117647058824"
"104","AT","R2000","Sugar beet","heat waves","1","AT_p005","0.842303555474289","0.113816521971293","0.0294117647058824"
"105","AT","R2000","Sugar beet","heat waves","1","AT_p006","0.0631633108284521","0.376580092646909","0.0294117647058824"
"106","AT","R2000","Sugar beet","heat waves","1","AT_p009","0.826587804094411","0.118431117453143","0.0294117647058824"
"107","AT","R2000","Sugar beet","heat waves","1","AT_p010","0.0243839589698847","0.433295280049977","0.0588235294117647"
