;country;crop;crop_id;type;Scarecity;activity;pb;r.squared;zero_counter
1;DE;R1000;Potatoes;droughts;0.9;DE_p004;0.00692597361652563;0.66004421328553;0.0294117647058824
2;DE;R1000;Potatoes;droughts;0.9;DE_p061;0.00103770129228917;0.727378615282578;0.0294117647058824
3;DE;R1000;Potatoes;droughts;0.9;DE_p062;0.000154618137107221;0.779005951768072;0.0294117647058824
4;DE;R1000;Potatoes;droughts;0.9;DE_p085;0.00255242367634903;0.697845460377993;0.0294117647058824
5;DE;R1000;Potatoes;droughts;0.9;DE_p087;0.00231915849597859;0.701177933159122;0.0294117647058824
6;DE;R1000;Potatoes;droughts;0.9;DE_p104;0.00472998914896588;0.675191754731735;0.0294117647058824
7;DE;R1000;Potatoes;droughts;0.9;DE_p109;0.00191247599831372;0.707740359777175;0.0294117647058824
8;DE;R2000;Sugar beet;droughts;0.9;DE_p023;0.00320777523506135;0.660906797767456;0.0882352941176471
9;DE;R2000;Sugar beet;droughts;0.9;DE_p062;0.00446425831264851;0.648152296925293;0.0294117647058824
10;DE;R2000;Sugar beet;droughts;0.9;DE_p115;0.00079527425692117;0.70859821939245;0.0588235294117647
11;DE;I1120;Sunflower;droughts;0.5;DE_p061;0.00199859307307461;0.706257607919866;0.0294117647058824
12;DE;I1120;Sunflower;droughts;0.5;DE_p062;0.000890437077930302;0.732034588883021;0.0294117647058824
13;DE;I1120;Sunflower;droughts;0.5;DE_p085;0.00610149807108597;0.665182956863736;0.0294117647058824
14;DE;I1120;Sunflower;droughts;0.5;DE_p087;0.000574786046819388;0.744821290402358;0.0294117647058824
15;DE;I1120;Sunflower;droughts;0.5;DE_p104;0.00805790990272092;0.653763740230083;0.0294117647058824
16;DE;I1120;Sunflower;droughts;0.5;DE_p115;0.00521826221458415;0.67137832418092;0.0588235294117647
17;DE;G3000;Green maize;droughts;0.9;DE_p004;0.00613655766677589;0.664952951257812;0.0294117647058824
18;DE;G3000;Green maize;droughts;0.9;DE_p059;0.0043250662054811;0.678614283203967;0.0882352941176471
19;DE;G3000;Green maize;droughts;0.9;DE_p061;0.00832713503741362;0.652378990578971;0.0294117647058824
20;DE;G3000;Green maize;droughts;0.9;DE_p062;0.00019231309427601;0.773720385720833;0.0294117647058824
21;DE;G3000;Green maize;droughts;0.9;DE_p085;0.00180115704747876;0.709743918709971;0.0294117647058824
22;DE;G3000;Green maize;droughts;0.9;DE_p087;0.000126155685012284;0.783805320450255;0.0294117647058824
23;DE;G3000;Green maize;droughts;0.9;DE_p096;0.000848534208322882;0.73348058043816;0.0588235294117647
24;DE;G3000;Green maize;droughts;0.9;DE_p102;0.000732654821845906;0.737826710098346;0.0294117647058824
25;DE;G3000;Green maize;droughts;0.9;DE_p104;0.00154442693614572;0.714802469935388;0.0294117647058824
26;DE;G3000;Green maize;droughts;0.9;DE_p107;0.00247194952719886;0.698964720787359;0.0588235294117647
27;DE;G3000;Green maize;droughts;0.9;DE_p110;0.000274713738507387;0.764757330919433;0.0294117647058824
28;DE;G3000;Green maize;droughts;0.9;DE_p115;0.00596799489351224;0.666069045685103;0.0588235294117647
29;ES;C1100;C1100 Wheat & spelt;droughts;0.5;ES_p071;0.00275659900537575;0.605222011035181;0.0294117647058824
30;ES;C1100;C1100 Wheat & spelt;droughts;0.5;ES_p110;0.00200963435309919;0.617421632257472;0.0294117647058824
31;ES;R1000;Potatoes;droughts;0.9;ES_p018;0.00105474054842875;0.640850916327821;0.117647058823529
32;ES;R1000;Potatoes;droughts;0.9;ES_p030;0.000523418497370517;0.664324681362545;0.0882352941176471
33;ES;R1000;Potatoes;droughts;0.9;ES_p071;0.00114319941881418;0.638024602662414;0.0294117647058824
34;ES;R2000;Sugar beet;droughts;0.9;ES_p055;0.00131518619519123;0.600892727971843;0.0294117647058824
35;ES;I1120;Sunflower;droughts;0.9;ES_p008;0.00116330145553252;0.637409223524626;0.0882352941176471
36;ES;I1120;Sunflower;droughts;0.9;ES_p055;0.000236514700878022;0.688728184719261;0.0294117647058824
37;ES;I1120;Sunflower;droughts;0.9;ES_p071;0.000924445189785424;0.645419208942642;0.0294117647058824
38;ES;I3000;Tobacco;droughts;0.9;ES_p040;0.000496502407302115;0.602191050340582;0.0294117647058824
39;ES;G3000;Green maize;droughts;0.9;ES_p018;0.00247987988773215;0.609360858257124;0.117647058823529
40;ES;G3000;Green maize;droughts;0.9;ES_p030;0.000819156368933297;0.64954542687211;0.0882352941176471
41;ES;G3000;Green maize;droughts;0.9;ES_p071;0.00257419921380965;0.607906888316138;0.0294117647058824
42;ES;G3000;Green maize;droughts;0.9;ES_p101;0.00114250016642514;0.63804617925191;0.0294117647058824
43;FR;C1100;C1100 Wheat & spelt;droughts;0.5;FR_p004;0.00776247856148595;0.738580467528373;0.0294117647058824
44;FR;C1100;C1100 Wheat & spelt;droughts;0.5;FR_p059;0.00709060024329733;0.741908987223452;0.0294117647058824
45;FR;C1100;C1100 Wheat & spelt;droughts;0.5;FR_p118;0.00655115438535504;0.744771839100003;0.176470588235294
46;FR;R1000;Potatoes;droughts;1;FR_p004;0.00146756276883085;0.791904923197902;0.0294117647058824
47;FR;R2000;Sugar beet;droughts;1;FR_p029;0.00202884257491283;0.73261044176555;0.117647058823529
48;FR;R2000;Sugar beet;droughts;1;FR_p078;0.00597232608832439;0.69450195168732;0.0294117647058824
49;FR;R2000;Sugar beet;droughts;1;FR_p081;0.000491154466929485;0.773989094267447;0.0294117647058824
50;FR;I1120;Sunflower;droughts;1;FR_p004;0.00230748937592233;0.778912100335278;0.0294117647058824
51;FR;G3000;Green maize;droughts;1;FR_p061;0.00436841905167496;0.758791876717661;0.0294117647058824
52;FR;G3000;Green maize;droughts;1;FR_p115;0.00600772334095339;0.74785647190822;0.0294117647058824
53;PL;R2000;Sugar beet;droughts;0.5;PL_p017;0.00287088614470423;0.635065051017804;0.0294117647058824
54;RO;R2000;Sugar beet;droughts;0.6;RO_p115;0.000538130030778453;0.632402924763484;0.0294117647058824
55;RO;I1120;Sunflower;droughts;0.6;RO_p110;0.000644303561513716;0.626306012990167;0.0588235294117647
56;RO;I3000;Tobacco;droughts;0.6;RO_p017;0.000973095591233751;0.611874156941308;0.117647058823529
57;RO;I3000;Tobacco;droughts;0.6;RO_p032;0.000199414187733501;0.663951752734378;0.0294117647058824
