;country;crop_name;crop_id;uncertainty_indicator;odds_ratio_days_heatwave;odds_ratio_days_coldwave;odds_ratio_days_drought;odds_ratio_days_flood;odds_ratio_days_firerisk;odds_ratio_exp_area_heatwaves;odds_ratio_exp_area_coldwaves;odds_ratio_exp_area_droughts;odds_ratio_exp_area_floods;odds_ratio_exp_area_fireweatherrisk;max_likelihood_pseudo_R2;Wald_Test_p_val_days_heatwave;Wald_Test_p_val_days_coldwave;Wald_Test_p_val_days_drought;Wald_Test_p_val_days_flood;Wald_Test_p_val_days_firerisk;Wald_Test_p_val_exp_area_heatwaves;Wald_Test_p_val_exp_area_coldwaves;Wald_Test_p_val_exp_area_droughts;Wald_Test_p_val_exp_area_floods;Wald_Test_p_val_exp_area_fireweatherrisk
1;AT;Wheat & spelt;C1100;0.543;1.00492531416312;1.00572221904378;1.00458001616013;0.832119139089595;0.999937124885461;0.995315739374743;1.00351847837643;1.00184838652216;1.01038573028072;0.996390293117465;0.176151206106899;0.680390138891915;0.28315339334863;0.348640028627994;0.157869547690556;0.995593347545072;0.575119762117121;0.478705196656301;0.584930628709841;0.199008364928281;0.758287455331105
2;AT;Rye;C1200;0.239;0.996846424569757;0.99329216408134;1.00245286064268;1.12735576324283;1.01603171560409;1.00325940178493;1.006737945625;0.996431811751531;0.991613040608978;0.989714898044953;0.268016351499625;0.76574384489816;0.17747922576871;0.587792938627508;0.310432541890434;0.141245738261696;0.653750849091557;0.150542282538139;0.254888121296807;0.253792633656246;0.345560742361257
3;AT;Barley;C1300;1;1.00653205253106;1.00101160826321;1.00417905055207;0.952444408709876;0.997339112287795;0.993301572079451;1.01547665107246;1.00118331322644;1.00046083287515;0.99757803896245;0.369693961622927;0.644365889684005;0.844038732460806;0.348099296493049;0.738498383936563;0.796381547391663;0.526815777615617;0.00670312993970709;0.751019647473875;0.960805935725966;0.848895882253143
4;AT;Oats;C1400;0.239;0.997688920702417;0.999033306348329;0.995749105110744;0.969200764014076;1.01309691836544;NA;NA;NA;NA;NA;0.145340402469317;0.574145624791293;0.802922744740961;0.280355500420989;0.438370430296179;0.0401021677878499;1;1;1;1;1
5;AT;Maize;C1500;0.239;0.999992725518853;0.995697937077052;0.998604656335901;1.15892955340742;0.998328636283083;1.00903241084399;0.994013381529145;1.00285394948218;0.990284395275281;1.00718493933442;0.334738986492586;0.999577272204189;0.485943407751486;0.765432251884355;0.479672711089627;0.872595585389717;0.365924131402524;0.402029291698178;0.549882119987189;0.509701171756101;0.691910029502282
6;AT;Sorghum;C1700;0.239;0.985952320723354;0.995074309186103;1.00014355670017;1.19154299371081;1.00137182234055;1.01190918292742;0.997240454098109;1.00214216235544;0.986588804130033;0.996907356678332;0.355589803133971;0.0613785378651711;0.216839769120261;0.966849448891744;0.0680125484077859;0.859713842721235;0.0135274197119286;0.54159594016384;0.451767348642364;0.0444546505166542;0.775412106634781
7;AT;Rice;C2000;0;NA;1;1;1;1;NA;NA;NA;NA;NA;NaN;1;1;1;1;1;1;1;1;1;1
8;AT;Cereals nec;C1900;0.109;1.00199924828587;0.996934460331528;1.012619063013;1.04478483194966;0.989143186569536;NA;NA;NA;NA;NA;0.345787255690789;0.57925321770067;0.36786643969192;0.000777609985005618;0.217963886557833;0.048484691771433;1;1;1;1;1
9;AT;Dry pulses;P0000;0.63;1.00156364939886;1.00487793112381;1.00765018541737;0.977670040141257;0.993666246583713;NA;NA;NA;NA;NA;0.189591141855863;0.69640714366574;0.202486354435523;0.0518247830386013;0.564853721105139;0.292004693887765;1;1;1;1;1
10;AT;Roots & tubers;R0000;0.109;1.01217924842917;1.00371550555852;1.00732553812306;0.874532985065777;0.99813296778325;0.997885717223834;0.997343263878568;1.00093893453831;1.0082996379317;0.993906294760296;0.359425388362219;0.180770611882653;0.40079649387533;0.0868970647934517;0.165129289458195;0.847661555082051;0.717242261576991;0.482508783263467;0.713179228469734;0.155355356733692;0.493013329738549
